Title,Authors
Quasigeodesics on the Cube,"MIT CompGeom Group, Hugo A. Akitaya, Erik D. Demaine, Adam Hesterberg, Thomas C. Hull, Anna Lubiw, Jayson Lynch, Klara Mundilova, Chie Nara, Joseph O'Rourke, Frederick Stock, Josef Tkadlec, Ryuhei Uehara"
PyGDA: A Python Library for Graph Domain Adaptation,"Zhen Zhang, Meihan Liu, Bingsheng He"
Effects of symmetry energy on the properties of hadron-quark mixed phase in hybrid stars,"Min Ju, Xuhao Wu, Hong Shen"
MT-NAM: An Efficient and Adaptive Model for Epileptic Seizure Detection,"Arshia Afzal, Volkan Cevher, Mahsa Shoaran"
BUFFER-X: Towards Zero-Shot Point Cloud Registration in Diverse Scenes,"Minkyun Seo, Hyungtae Lim, Kanghee Lee, Luca Carlone, Jaesik Park"
Simulation-Based Priors without Simulations: an Analytic Perspective on EFT Parameters of Galaxies,Mikhail M. Ivanov
Temperature-driven structural phase transitions in SmNiO$_3$: insights from deep potential molecular dynamics simulations,"Guoyong Shi, Fenglin Deng, Ri He, Dachuan Chen, Xuejiao Chen, Peiheng Jiang, Zhicheng Zhong"
Bayesian Fields: Task-driven Open-Set Semantic Gaussian Splatting,"Dominic Maggio, Luca Carlone"
Tailoring the breathing-mode distortions in nickelate-ferroelectric heterostructures,"Guillaume Krieger, Chia-Ping Su, Hoshang Sahib, Raymond Fan, Paul Steadman, Alexandre Gloter, Nathalie Viart, Daniele Preziosi"
Higgs near-criticality at future colliders,"Victor Enguita, Belen Gavela, Thomas Steingasser"
Gauging non-invertible symmetries on the lattice,"Sahand Seifnashri, Shu-Heng Shao, Xinping Yang"
FairSense-AI: Responsible AI Meets Sustainability,"Shaina Raza, Mukund Sayeeganesh Chettiar, Matin Yousefabadi, Tahniat Khan, Marcelo Lotif"
LADDER: Self-Improving LLMs Through Recursive Problem Decomposition,"Toby Simonds, Akira Yoshiyama"
Building a Theory of Distributed Systems: Work by Nancy Lynch and Collaborators,Nancy Lynch
Few-Shot Multilingual Open-Domain QA from 5 Examples,"Fan Jiang, Tom Drummond, Trevor Cohn"
Interplay of ALP Couplings at a Muon Collider,"So Chigusa, Sudhakantha Girmohanta, Yuichiro Nakai, Yufei Zhang"
Two- and three-meson scattering amplitudes with physical quark masses from lattice QCD,"Sebastian M. Dawid, Zachary T. Draper, Andrew D. Hanlon, Ben Hörz, Colin Morningstar, Fernando Romero-López, Stephen R. Sharpe, Sarah Skinner"
Int2Int: a framework for mathematics with transformers,François Charton
TDMPBC: Self-Imitative Reinforcement Learning for Humanoid Robot Control,"Zifeng Zhuang, Diyuan Shi, Runze Suo, Xiao He, Hongyin Zhang, Ting Wang, Shangke Lyu, Donglin Wang"
"NatSGLD: A Dataset with Speech, Gesture, Logic, and Demonstration for Robot Learning in Natural Human-Robot Interaction","Snehesh Shrestha, Yantian Zha, Saketh Banagiri, Ge Gao, Yiannis Aloimonos, Cornelia Fermüller"
MimeQA: Towards Socially-Intelligent Nonverbal Foundation Models,"Hengzhi Li, Megan Tjandrasuwita, Yi R. Fung, Armando Solar-Lezama, Paul Pu Liang"
rECGnition_v2.0: Self-Attentive Canonical Fusion of ECG and Patient Data using deep learning for effective Cardiac Diagnostics,"Shreya Srivastava, Durgesh Kumar, Ram Jiwari, Sandeep Seth, Deepak Sharma"
LServe: Efficient Long-sequence LLM Serving with Unified Sparse Attention,"Shang Yang, Junxian Guo, Haotian Tang, Qinghao Hu, Guangxuan Xiao, Jiaming Tang, Yujun Lin, Zhijian Liu, Yao Lu, Song Han"
QCD predictions for physical multimeson scattering amplitudes,"Sebastian M. Dawid, Zachary T. Draper, Andrew D. Hanlon, Ben Hörz, Colin Morningstar, Fernando Romero-López, Stephen R. Sharpe, Sarah Skinner"
