Number,Title
1,few-shot multilingual open-domain example
2,interplay alp coupling muon collider
3,two- three-meson scattering amplitude physical quark mass lattice qcd
4,int2int framework mathematics transformer
5,tdmpbc self-imitative reinforcement learning humanoid robot control
6,natsgld dataset speech gesture logic demonstration robot learning natural human-robot interaction
7,mimeqa towards socially-intelligent nonverbal foundation model
8,recgnitionv20 self-attentive canonical fusion ecg patient data using deep learning effective cardiac diagnostics
9,lserve efficient long-sequence llm serving unified sparse attention
10,qcd prediction physical multimeson scattering amplitude
11,isolating unisolated upsilon anomaly detection cm open data
12,mamute high-performance computing geophysical method
13,searching exotic scalar fusion reactor
14,precise determination heavy jet mass distribution
15,ai-generated text detection gltr-based approach
16,vldbench vision language model disinformation detection benchmark
17,primus pioneering collection open-source datasets cybersecurity llm training
18,dynamic chain-of-thought towards adaptive deep reasoning
19,auto-evaluation critical measure driving improvement quality safety ai-generated lesson resource
20,gauge hierarchy metastability higgs-driven crunching
21,fade forecasting anomaly detection ecg
22,building network shared research interest embedding word representation space
23,critically slow hilbert-space ergodicity quantum morphic drive
24,self-rationalization wild large scale out-of-distribution evaluation nli-related task
25,user-friendly game-theoretic modeling analysis multi-modal transportation system
26,love number black p-branes fine tuning love symmetry geometrization
27,bound velocity-dependent dark matter-baryon scattering large-scale structure
28,deuce dual-diversity enhancement uncertainty-awareness cold-start active learning
29,progress normalizing flow gauge theory
30,connectivity
31,result meson-meson scattering large ntextc
32,visualizing structure large-radius jet shape wake
33,quantum computing graph
34,docling efficient open-source toolkit ai-driven document conversion
35,qcd theory meet information theory
36,energy correlators beyond angle
37,classical model semiclassical state-counting
38,matrix calculus machine learning beyond
39,enhancing kelp forest detection remote sensing image using crowdsourced label mixed vision transformer convnext segmentation model
40,solving continuum rarefied flow using differentiable programming
41,searching compact pentaquark state within bag model framework
42,quantum algorithm khovanov homology
43,approaching inverse problem toward lattice qcd calculation inclusive hadronic quantity
44,role finite value strange quark mass msneq0 baryon number density stability maximum mass strange star
45,strange quark star modified vectormitbag model role meson
46,logarithmic memory network lmns efficient long-range sequence modeling resource-constrained environment
47,quantum computing enhanced sensing
48,eliza reanimated world first chatbot restored world first time sharing system
49,dynamic heavy quark strongly coupled mathcaln4 sym plasma
50,asanai in-browser no-code offline-first machine learning toolkit
51,aspect propagator sparsening lattice qcd
52,lyman alpha forest halo cross-correlations effective field theory
53,constraint gamma-ray burst phenomenology hypothesis quark star central engine gamma-ray burst
54,rapid experimentation python considering optional hierarchical input
55,quantum mechanic observer gravity closed universe
56,evaluation code generation capability chatgpt comparative analysis programming language
57,gaf-fusionnet multimodal ecg analysis via gramian angular field split attention
58,fermionic casimir effect finite temperature horava-lifshitz theory
59,outlier-robust training machine learning model
60,emergence formation dynamic hot qcd matter
61,external field induced metal-to-insulator transition dissipative hubbard model
62,mobilenetv2 lightweight classification model home-based sleep apnea screening
63,lattice t-duality non-invertible symmetry quantum spin chain
64,compact neural network algorithm electrocardiogram classification
65,cech complex generation homotopy equivalence framework myocardial infarction diagnosis using electrocardiogram signal
66,emerging microelectronic material design navigating combinatorial design space scarce dispersed data
67,interactive classification metric graphical application build robust intuition classification model evaluation
68,development neuromorphic network using biosfq circuit
69,dark matter-electron detector dark matter-nucleon interaction
70,new bite dark matter snspd-based qrocodile experiment
71,determining smz dijets ee- thrust
72,new physic muon synchrotron ion collider music several scale
73,solving inverse problem magnetic induction tomography using gauss-newton iterative method zoning technique reduce unknown coefficient
74,efficiently measuring d-wave pairing beyond quantum gas microscope
75,predicting survival hemodialysis patient using federated learning
76,mpax mathematical programming jax
77,single geometry all-genus expansion quantum gravity
78,mit-10m large scale parallel corpus multilingual image translation
79,accel2 project precision measurement eft parameter bao peak shift lyman- forest
80,fead figma-enhanced app design framework improving uiux educational app development
81,conden-fi consistency diversity learning-based multi-view unsupervised feature in-stance co-selection
82,determination pseudoscalar decay constant su2 two fundamental flavor
83,pypulse python library biosignal imputation
84,oscillatory property strange quark star described vectormitbag model
85,electrocardiogram ecg based cardiac arrhythmia detection classification using machine learning algorithm
86,msecg incorporating mamba robust efficient ecg super-resolution
87,exciton thermalization dynamic monolayer mos2 first-principles boltzmann equation study
88,nutzung von massespeichern zur flexibilisierung de energieverbrauchs kosteneffizienter anlagenbetrieb durch anpassung marktpreise
89,note loop resummation sitter spacetime wavefunction universe approach
90,millennium astrid galaxy effective field theory comparison galaxy-halo connection model field level
91,beyond sicp design implementation notional machine scheme
92,msemg surface electromyography denoising mamba-based efficient network
93,graph neural network deep-dive successful counterattack
94,boundary term string field theory
95,control ferromagnetism vanadium oxide thin film oxidation state
96,drell-yan transverse-momentum spectrum n3ll approximate n4ll scetlib
97,charge gain via solid-state gating oxide mott system
98,simple scaling law energy correlators nuclear matter
99,vo2 film grown tio2 sub-layer influence thickness structural electrical optical property
100,toward inclusive observables staggered quark smeared rratio
101,generalization bound neural network low rank layer
102,bia-binder web-native cloud compute service bioimage analysis community
103,exotic phase finite-density mathbbz3 theory
104,searching gev gamma-ray polarization axion-like particle ams-02
105,bibliometric analysis highly cited artificial intelligence publication science citation index expanded
106,scalar tensor meson dominance gravitational form factor pion
107,better safe sorry enhancing arbitration graph safe robust autonomous decision-making
108,reggeization color
109,three-point energy correlator coplanar limit
110,reducing reasoning cost path optimization chain thought via sparse attention mechanism
111,damping density oscillation bulk viscosity quark matter
112,scholarly wikidata population exploration conference data wikidata using llm
113,chaos emergence cosmological horizon
114,high quality ecg dataset based onmit-bih recording improved heartbeat classification
115,boundary effect qgp droplet self-similarity effect hadron qgp-hadron phase transition
116,neko toward post recognition generative correction large language model task-oriented expert
117,svdquant absorbing outlier low-rank component 4-bit diffusion model
118,characterization adiabatic quantum-flux-parametrons themitll sfq5ee process
119,dp-hls high-level synthesis framework accelerating dynamic programming algorithm bioinformatics
120,lattice qcd calculation subtraction function forward compton amplitude
121,small-scale hamiltonian optimization interpolating operator lagrangian lattice quantum field theory
122,qcd coupling constant nonzero value strange quark mass msneq dependent stable stellar structure admitting observational result
123,hafnia-based phase-change ferroelectric steep-switching fet 2-d mos2 platform
124,applicability modified gauss-bonnet gravity model existence stellar structure
125,lorentz-equivariant transformer lhc
126,constraint dark matter future mev gamma-ray telescope
127,flavor pattern fundamental particle quantum entanglement
128,monte carlo framework calibrated uncertainty estimation sequence prediction
129,epitaxial growth stabilization perovskite phase eunio3 thin film sputtering
