Title,Authors,cleaned_title,cleaned_authors
Quasigeodesics on the Cube,"MIT CompGeom Group, Hugo A. Akitaya, Erik D. Demaine, Adam Hesterberg, Thomas C. Hull, Anna Lubiw, Jayson Lynch, Klara Mundilova, Chie Nara, Joseph O'Rourke, Frederick Stock, Josef Tkadlec, Ryuhei Uehara",quasigeodesics cube,MIT CompGeom Group Hugo A Akitaya Erik D Demaine Adam Hesterberg Thomas C Hull Anna Lubiw Jayson Lynch Klara Mundilova Chie Nara Joseph ORourke Frederick Stock Josef Tkadlec Ryuhei Uehara
PyGDA: A Python Library for Graph Domain Adaptation,"Zhen Zhang, Meihan Liu, Bingsheng He",pygda python library graph domain adaptation,Zhen Zhang Meihan Liu Bingsheng He
Effects of symmetry energy on the properties of hadron-quark mixed phase in hybrid stars,"Min Ju, Xuhao Wu, Hong Shen",effect symmetry energy property hadron-quark mixed phase hybrid star,Min Ju Xuhao Wu Hong Shen
MT-NAM: An Efficient and Adaptive Model for Epileptic Seizure Detection,"Arshia Afzal, Volkan Cevher, Mahsa Shoaran",mt-nam efficient adaptive model epileptic seizure detection,Arshia Afzal Volkan Cevher Mahsa Shoaran
BUFFER-X: Towards Zero-Shot Point Cloud Registration in Diverse Scenes,"Minkyun Seo, Hyungtae Lim, Kanghee Lee, Luca Carlone, Jaesik Park",buffer-x towards zero-shot point cloud registration diverse scene,Minkyun Seo Hyungtae Lim Kanghee Lee Luca Carlone Jaesik Park
Simulation-Based Priors without Simulations: an Analytic Perspective on EFT Parameters of Galaxies,Mikhail M. Ivanov,simulation-based prior without simulation analytic perspective eft parameter galaxy,Mikhail M Ivanov
Temperature-driven structural phase transitions in SmNiO$_3$: insights from deep potential molecular dynamics simulations,"Guoyong Shi, Fenglin Deng, Ri He, Dachuan Chen, Xuejiao Chen, Peiheng Jiang, Zhicheng Zhong",temperature-driven structural phase transition smnio insight deep potential molecular dynamic simulation,Guoyong Shi Fenglin Deng Ri He Dachuan Chen Xuejiao Chen Peiheng Jiang Zhicheng Zhong
Bayesian Fields: Task-driven Open-Set Semantic Gaussian Splatting,"Dominic Maggio, Luca Carlone",bayesian field task-driven open-set semantic gaussian splatting,Dominic Maggio Luca Carlone
Tailoring the breathing-mode distortions in nickelate-ferroelectric heterostructures,"Guillaume Krieger, Chia-Ping Su, Hoshang Sahib, Raymond Fan, Paul Steadman, Alexandre Gloter, Nathalie Viart, Daniele Preziosi",tailoring breathing-mode distortion nickelate-ferroelectric heterostructures,Guillaume Krieger Chia-Ping Su Hoshang Sahib Raymond Fan Paul Steadman Alexandre Gloter Nathalie Viart Daniele Preziosi
Higgs near-criticality at future colliders,"Victor Enguita, Belen Gavela, Thomas Steingasser",higgs near-criticality future collider,Victor Enguita Belen Gavela Thomas Steingasser
Gauging non-invertible symmetries on the lattice,"Sahand Seifnashri, Shu-Heng Shao, Xinping Yang",gauging non-invertible symmetry lattice,Sahand Seifnashri Shu-Heng Shao Xinping Yang
FairSense-AI: Responsible AI Meets Sustainability,"Shaina Raza, Mukund Sayeeganesh Chettiar, Matin Yousefabadi, Tahniat Khan, Marcelo Lotif",fairsense-ai responsible meet sustainability,Shaina Raza Mukund Sayeeganesh Chettiar Matin Yousefabadi Tahniat Khan Marcelo Lotif
LADDER: Self-Improving LLMs Through Recursive Problem Decomposition,"Toby Simonds, Akira Yoshiyama",ladder self-improving llm recursive problem decomposition,Toby Simonds Akira Yoshiyama
Building a Theory of Distributed Systems: Work by Nancy Lynch and Collaborators,Nancy Lynch,building theory distributed system work nancy lynch collaborator,Nancy Lynch
Few-Shot Multilingual Open-Domain QA from 5 Examples,"Fan Jiang, Tom Drummond, Trevor Cohn",few-shot multilingual open-domain example,Fan Jiang Tom Drummond Trevor Cohn
Interplay of ALP Couplings at a Muon Collider,"So Chigusa, Sudhakantha Girmohanta, Yuichiro Nakai, Yufei Zhang",interplay alp coupling muon collider,So Chigusa Sudhakantha Girmohanta Yuichiro Nakai Yufei Zhang
Two- and three-meson scattering amplitudes with physical quark masses from lattice QCD,"Sebastian M. Dawid, Zachary T. Draper, Andrew D. Hanlon, Ben Hörz, Colin Morningstar, Fernando Romero-López, Stephen R. Sharpe, Sarah Skinner",two- three-meson scattering amplitude physical quark mass lattice qcd,Sebastian M Dawid Zachary T Draper Andrew D Hanlon Ben Hrz Colin Morningstar Fernando Romero-Lpez Stephen R Sharpe Sarah Skinner
