ID,Title,Authors,Abstract,Journal_Conference_Name,Publisher,Year,DOI,Group_Name
1,Confronting recent light compact star observations with color-flavor locked quark matter,"K. Kourmpetis, P. Laskos-Patkos, Ch. C. Moustakidis","Recent analyses on the properties of the central compact object in the HESS J1731-347 remnant and the PSR J1231-1411 pulsar indicated that these two compact objects are characterized by similar (low) masses and possibly different radii. This paper aims at reconciling the aforementioned measurements by utilizing the widely employed color-flavor locked (CFL) MIT bag model. The main objective is related to the examination of the acceptable values for the color superconducting gap $\Delta$ and the bag parameter $B$. Furthermore, our analysis involves two distinct hypotheses for the nature of compact stars. Firstly, we considered the case of absolute stability for strange quark matter and we found that it is possible to explain both measurements, while also respecting the latest astronomical constraints on the masses and radii of compact stars. Secondly, we studied the case of hybrid stellar matter (transition from hadrons to quarks), and concluded that, when early phase transitions are considered, the simultaneous reconciliation of both measurements leads to results that are inconsistent to the existence of massive compact stars. However, we showed that all current constraints may be satisfied under the consideration that the HESS J1731-347 remnant contains a slow stable hybrid star.",N/A,arXiv,2025,N/A,astro-ph.HE
2,Modeling Saliency Dataset Bias,"Matthias Kümmerer, Harneet Khanuja, Matthias Bethge","Recent advances in image-based saliency prediction are approaching gold standard performance levels on existing benchmarks. Despite this success, we show that predicting fixations across multiple saliency datasets remains challenging due to dataset bias. We find a significant performance drop (around 40%) when models trained on one dataset are applied to another. Surprisingly, increasing dataset diversity does not resolve this inter-dataset gap, with close to 60% attributed to dataset-specific biases. To address this remaining generalization gap, we propose a novel architecture extending a mostly dataset-agnostic encoder-decoder structure with fewer than 20 dataset-specific parameters that govern interpretable mechanisms such as multi-scale structure, center bias, and fixation spread. Adapting only these parameters to new data accounts for more than 75% of the generalization gap, with a large fraction of the improvement achieved with as few as 50 samples. Our model sets a new state-of-the-art on all three datasets of the MIT/Tuebingen Saliency Benchmark (MIT300, CAT2000, and COCO-Freeview), even when purely generalizing from unrelated datasets, but with a substantial boost when adapting to the respective training datasets. The model also provides valuable insights into spatial saliency properties, revealing complex multi-scale effects that combine both absolute and relative sizes.",N/A,arXiv,2025,N/A,cs.CV
3,Monotonicity of the Laplace Transform for dissipative systems: Magnetic Induction Tomography,"Antonello Tamburrino, Antonio Corbo Esposito, Gianpaolo Piscitelli","Magnetic Induction Tomography (MIT) is a proven technique for looking inside conductive materials, using low-frequency electromagnetic fields. However, analyzing MIT data is mathematically complex because of the non-linear and ill-posed nature of the inverse problem. In this framework, the Monotonicity Principle is recognized as an effective approach to solve the inverse obstacle problem in realistic situations and real-time operations.   To date, the Monotonicity Principle has been found for elliptic and hyperbolic PDEs, even in the presence of nonlinearities. Magnetic Induction Tomography is modeled by a parabolic PDE. The physics of this dissipative system pose severe challenges from the theoretical and applied perspectives. To date, the Monotonicity Principles for MIT have been found only for proper asymptotic approximations or source-free problems.   This article recognizes that the operator mapping the Laplace transform of the applied source onto the measured quantity (Transfer Operator) satisfies a Monotonicity Principle on a real semi-axis of the complex plane. Therefore, this article introduces the concept of transfer operator in Magnetic Induction Tomography, proves a Monotonicity Principle for the transfer operator evaluated on a proper real semi-axis of the complex plane, and provides a description of the related (real-time) imaging method.",N/A,arXiv,2025,N/A,math.AP
4,WixQA: A Multi-Dataset Benchmark for Enterprise Retrieval-Augmented Generation,"Dvir Cohen, Lin Burg, Sviatoslav Pykhnivskyi, Hagit Gur, Stanislav Kovynov, Olga Atzmon, Gilad Barkan","Retrieval-Augmented Generation (RAG) is a cornerstone of modern question answering (QA) systems, enabling grounded answers based on external knowledge. Although recent progress has been driven by open-domain datasets, enterprise QA systems need datasets that mirror the concrete, domain-specific issues users raise in day-to-day support scenarios. Critically, evaluating end-to-end RAG systems requires benchmarks comprising not only question--answer pairs but also the specific knowledge base (KB) snapshot from which answers were derived. To address this need, we introduce WixQA, a benchmark suite featuring QA datasets precisely grounded in the released KB corpus, enabling holistic evaluation of retrieval and generation components. WixQA includes three distinct QA datasets derived from Wix.com customer support interactions and grounded in a snapshot of the public Wix Help Center KB: (i) WixQA-ExpertWritten, 200 real user queries with expert-authored, multi-step answers; (ii) WixQA-Simulated, 200 expert-validated QA pairs distilled from user dialogues; and (iii) WixQA-Synthetic, 6,222 LLM-generated QA pairs, with one pair systematically derived from each article in the knowledge base. We release the KB snapshot alongside the datasets under MIT license and provide comprehensive baseline results, forming a unique benchmark for evaluating enterprise RAG systems in realistic enterprise environments.",N/A,arXiv,2025,N/A,cs.AI
5,Metal-Insulator Transition described by Natural Orbital Functional Theory,"Juan Felipe Huan Lew-Yee, Mario Piris","The metal-insulator transition (MIT) is a fundamental phenomenon in condensed matter physics and a hallmark of strong electronic correlations. Hydrogen-based systems offer a simple yet powerful model for investigating the MIT, as their insulating behavior arises purely from electron-electron interactions. In this work, we study finite hydrogen clusters with cubic geometries using Natural Orbital Functional Theory (NOFT), a method capable of accurately describing correlated systems beyond mean-field approaches. We focus on two key signatures of the MIT: the fundamental energy gap and the harmonic average of the atomic one-particle reduced density matrix. Our results show that NOFT captures the transition from insulating to metallic behavior as the interatomic distance decreases. By extrapolating the energy gap to the thermodynamic limit, we estimate a critical distance rc ~ 1.2 Ang, in excellent agreement with quantum Monte Carlo benchmarks. These findings demonstrate the reliability of NOFT for describing strong correlation effects in large-scale models.",Rev. Cubana de Fis. 42 (2025) 12-18,arXiv,2025,N/A,cond-mat.str-el
6,"Influence of density-dependent bag function $B(n)$ on strange stars for non-zero strange quark mass ($m_s\neq0$) in $f(R,T)$ gravity consistent with observational validation","Rohit Roy, Debadri Bhattacharjee, Pradip Kumar Chattopadhyay","In this work a new class of solution of Einstein field equation for isotropic strange star using Mak and Harko density profile in the context of MIT bag model equation of state considering finite value of strange quark mass ($m_s$) is presented using the framework of modified gravity $f(R,T)=R+2\zeta T$, where, $\zeta$ is the coupling parameter. To incorporate quark core hypothesis with a physically viable stellar framework a baryon number density ($n$) dependent bag constant $B(n)$ has been analysed, using exponential type parametrisation. The energy per baryon ($E_B$) has been investigated to restrict $B(n)$ within stable window, specifically satisfying the condition $E_B\leq 930.4~MeV$, which corresponds to the binding energy of $\isotope[56]{Fe}$. Also it has been noted that $n$ has a maximum value of $0.36~fm^{-3}$ irrespective of $m_s$. As with decreasing $n$, $E_B$ rises, there is a lower limit of $n$ which depends on $m_s$. It has been observed that all the essential characteristics are satisfactorily fulfilled within the stellar interior for the selected set of parameter space. Maximum mass and radius in this model is found by numerically solving the TOV equations which gives a mass of about $2.02~M_{\odot}$ with a radius of $11.44~km$. The proposed model has been shown to comply with the required energy conditions and satisfies the criterion for dynamical stability, thereby confirming its physical plausibility as a physically consistent stellar model within the parameter space used.",N/A,arXiv,2025,N/A,gr-qc
7,Self Rewarding Self Improving,"Toby Simonds, Kevin Lopez, Akira Yoshiyama, Dominique Garmier","We demonstrate that large language models can effectively self-improve through self-judging without requiring reference solutions, leveraging the inherent asymmetry between generating and verifying solutions. Our experiments on Countdown puzzles and MIT Integration Bee problems show that models can provide reliable reward signals without ground truth answers, enabling reinforcement learning in domains previously not possible. By implementing self-judging, we achieve significant performance gains maintaining alignment with formal verification. When combined with synthetic question generation, we establish a complete self-improvement loop where models generate practice problems, solve them, and evaluate their own performance-achieving an 8% improvement with Qwen 2.5 7B over baseline and surpassing GPT-4o performance on integration tasks. Our findings demonstrate that LLM judges can provide effective reward signals for training models, unlocking many reinforcement learning environments previously limited by the difficulty of creating programmatic rewards. This suggests a potential paradigm shift toward AI systems that continuously improve through self-directed learning rather than human-guided training, potentially accelerating progress in domains with scarce training data or complex evaluation requirements.",N/A,arXiv,2025,N/A,cs.LG
8,BETTY Dataset: A Multi-modal Dataset for Full-Stack Autonomy,"Micah Nye, Ayoub Raji, Andrew Saba, Eidan Erlich, Robert Exley, Aragya Goyal, Alexander Matros, Ritesh Misra, Matthew Sivaprakasam, Marko Bertogna, Deva Ramanan, Sebastian Scherer","We present the BETTY dataset, a large-scale, multi-modal dataset collected on several autonomous racing vehicles, targeting supervised and self-supervised state estimation, dynamics modeling, motion forecasting, perception, and more. Existing large-scale datasets, especially autonomous vehicle datasets, focus primarily on supervised perception, planning, and motion forecasting tasks. Our work enables multi-modal, data-driven methods by including all sensor inputs and the outputs from the software stack, along with semantic metadata and ground truth information. The dataset encompasses 4 years of data, currently comprising over 13 hours and 32TB, collected on autonomous racing vehicle platforms. This data spans 6 diverse racing environments, including high-speed oval courses, for single and multi-agent algorithm evaluation in feature-sparse scenarios, as well as high-speed road courses with high longitudinal and lateral accelerations and tight, GPS-denied environments. It captures highly dynamic states, such as 63 m/s crashes, loss of tire traction, and operation at the limit of stability. By offering a large breadth of cross-modal and dynamic data, the BETTY dataset enables the training and testing of full autonomy stack pipelines, pushing the performance of all algorithms to the limits. The current dataset is available at https://pitt-mit-iac.github.io/betty-dataset/.",N/A,arXiv,2025,N/A,cs.RO
9,"2D Quon Language: Unifying Framework for Cliffords, Matchgates, and Beyond","Byungmin Kang, Chen Zhao, Zhengwei Liu, Xun Gao, Soonwon Choi","Simulating generic quantum states and dynamics is practically intractable using classical computers. However, certain special classes -- namely Clifford and matchgate circuits -- permit efficient computation. They provide invaluable tools for studying many-body physics, quantum chemistry, and quantum computation. While both play foundational roles across multiple disciplines, the origins of their tractability seem disparate, and their relationship remain unclear. A deeper understanding of such tractable classes could expand their scope and enable a wide range of new applications. In this work, we make progress toward the unified understanding of the Clifford and matchgate -- these two classes are, in fact, distinct special cases of a single underlying structure. Specifically, we introduce the 2D Quon language, which combines Majorana worldlines with their underlying spacetime topology to diagrammatically represent quantum processes and tensor networks. In full generality, the 2D Quon language is universal -- capable of representing arbitrary quantum states, dynamics, or tensor networks -- yet they become especially powerful in describing Clifford and matchgate classes. Each class can be efficiently characterized in a visually recognizable manner using the Quon framework. This capability naturally gives rise to several families of efficiently computable tensor networks introduced in this work: punctured matchgates, hybrid Clifford-matchgate-MPS, and ansatze generated from factories of tractable networks. All of these exhibit high non-Cliffordness, high non-matchgateness, and large bipartite entanglement entropy. We discuss a range of applications of our approach, from recovering well-known results such as the Kramers-Wannier duality and the star-triangle relation of the Ising model, to enabling variational optimization with novel ansatz states.",N/A,arXiv,2025,N/A,quant-ph
10,FastDup: a scalable duplicate marking tool using speculation-and-test mechanism,"Zhonghai Zhang, Yewen Li, Ke Meng, Chunming Zhang, Guangming Tan","Duplicate marking is a critical preprocessing step in gene sequence analysis to flag redundant reads arising from polymerase chain reaction(PCR) amplification and sequencing artifacts. Although Picard MarkDuplicates is widely recognized as the gold-standard tool, its single-threaded implementation and reliance on global sorting result in significant computational and resource overhead, limiting its efficiency on large-scale datasets. Here, we introduce FastDup: a high-performance, scalable solution that follows the speculation-and-test mechanism. FastDup achieves up to 20x throughput speedup and guarantees 100\% identical output compared to Picard MarkDuplicates. FastDup is a C++ program available from GitHub (https://github.com/zzhofict/FastDup.git) under the MIT license.",N/A,arXiv,2025,N/A,q-bio.GN
